ba_name,freq,load_MW,market,timestamp
CAISO,1hr,19607.0,RT5M,2017-10-01 13:35:00+00:00
CAISO,1hr,20636.0,RT5M,2017-10-01 18:35:00+00:00
CAISO,1hr,22041.0,RT5M,2017-10-02 06:05:00+00:00
CAISO,1hr,19058.0,RT5M,2017-10-01 10:05:00+00:00
CAISO,1hr,24276.0,RT5M,2017-10-01 23:05:00+00:00
CAISO,1hr,19604.0,RT5M,2017-10-01 09:05:00+00:00
CAISO,1hr,25826.0,RT5M,2017-10-02 04:05:00+00:00
CAISO,1hr,19024.0,RT5M,2017-10-01 12:10:00+00:00
CAISO,1hr,20563.0,RT5M,2017-10-01 18:10:00+00:00
CAISO,1hr,24360.0,RT5M,2017-10-01 23:10:00+00:00
CAISO,1hr,21890.0,RT5M,2017-10-02 06:10:00+00:00
CAISO,1hr,19611.0,RT5M,2017-10-01 14:10:00+00:00
CAISO,1hr,20622.0,RT5M,2017-10-01 16:10:00+00:00
CAISO,1hr,25452.0,RT5M,2017-10-02 00:10:00+00:00
CAISO,1hr,19029.0,RT5M,2017-10-01 10:10:00+00:00
CAISO,1hr,20938.0,RT5M,2017-10-01 07:35:00+00:00
CAISO,1hr,18860.0,RT5M,2017-10-01 11:35:00+00:00
CAISO,1hr,21608.0,RT5M,2017-10-01 20:35:00+00:00
CAISO,1hr,25720.0,RT5M,2017-10-02 00:35:00+00:00
CAISO,1hr,19134.0,RT5M,2017-10-01 12:35:00+00:00
CAISO,1hr,19647.0,RT5M,2017-10-01 14:35:00+00:00
CAISO,1hr,22839.0,RT5M,2017-10-02 05:40:00+00:00
CAISO,1hr,21701.0,RT5M,2017-10-01 20:40:00+00:00
CAISO,1hr,25754.0,RT5M,2017-10-02 00:40:00+00:00
CAISO,1hr,20623.0,RT5M,2017-10-01 17:40:00+00:00
CAISO,1hr,26786.0,RT5M,2017-10-02 01:40:00+00:00
CAISO,1hr,19835.0,RT5M,2017-10-01 08:40:00+00:00
CAISO,1hr,19276.0,RT5M,2017-10-01 09:40:00+00:00
CAISO,1hr,18892.0,RT5M,2017-10-01 10:40:00+00:00
CAISO,1hr,19604.0,RT5M,2017-10-01 13:40:00+00:00
CAISO,1hr,24855.0,RT5M,2017-10-01 23:40:00+00:00
CAISO,1hr,26711.0,RT5M,2017-10-02 03:40:00+00:00
CAISO,1hr,24790.0,RT5M,2017-10-02 04:40:00+00:00
CAISO,1hr,20646.0,RT5M,2017-10-01 18:40:00+00:00
CAISO,1hr,20824.0,RT5M,2017-10-01 07:40:00+00:00
CAISO,1hr,19141.0,RT5M,2017-10-01 12:40:00+00:00
CAISO,1hr,20644.0,RT5M,2017-10-01 15:40:00+00:00
CAISO,1hr,20809.0,RT5M,2017-10-01 16:40:00+00:00
CAISO,1hr,27867.0,RT5M,2017-10-02 02:40:00+00:00
CAISO,1hr,21085.0,RT5M,2017-10-02 06:40:00+00:00
CAISO,1hr,18864.0,RT5M,2017-10-01 11:40:00+00:00
CAISO,1hr,19745.0,RT5M,2017-10-01 14:40:00+00:00
CAISO,1hr,21157.0,RT5M,2017-10-01 19:40:00+00:00
CAISO,1hr,22692.0,RT5M,2017-10-01 21:40:00+00:00
CAISO,1hr,23857.0,RT5M,2017-10-01 22:40:00+00:00
CAISO,1hr,18870.0,RT5M,2017-10-01 10:45:00+00:00
CAISO,1hr,21793.0,RT5M,2017-10-01 20:45:00+00:00
CAISO,1hr,24947.0,RT5M,2017-10-01 23:45:00+00:00
CAISO,1hr,22670.0,RT5M,2017-10-02 05:45:00+00:00
CAISO,1hr,20690.0,RT5M,2017-10-01 18:45:00+00:00
CAISO,1hr,26599.0,RT5M,2017-10-02 03:45:00+00:00
CAISO,1hr,20584.0,RT5M,2017-10-01 17:45:00+00:00
CAISO,1hr,23947.0,RT5M,2017-10-01 22:45:00+00:00
CAISO,1hr,20980.0,RT5M,2017-10-02 06:45:00+00:00
CAISO,1hr,19216.0,RT5M,2017-10-01 09:45:00+00:00
CAISO,1hr,18863.0,RT5M,2017-10-01 11:45:00+00:00
CAISO,1hr,27763.0,RT5M,2017-10-02 02:45:00+00:00
CAISO,1hr,26974.0,RT5M,2017-10-02 01:45:00+00:00
CAISO,1hr,22798.0,RT5M,2017-10-01 21:45:00+00:00
CAISO,1hr,19787.0,RT5M,2017-10-01 08:45:00+00:00
CAISO,1hr,19829.0,RT5M,2017-10-01 14:45:00+00:00
CAISO,1hr,20713.0,RT5M,2017-10-01 07:45:00+00:00
CAISO,1hr,19157.0,RT5M,2017-10-01 12:45:00+00:00
CAISO,1hr,19588.0,RT5M,2017-10-01 13:45:00+00:00
CAISO,1hr,20766.0,RT5M,2017-10-01 16:45:00+00:00
CAISO,1hr,21160.0,RT5M,2017-10-01 19:45:00+00:00
CAISO,1hr,21602.0,RT5M,2017-10-02 06:20:00+00:00
CAISO,1hr,26215.0,RT5M,2017-10-02 01:20:00+00:00
CAISO,1hr,18969.0,RT5M,2017-10-01 10:20:00+00:00
CAISO,1hr,19559.0,RT5M,2017-10-01 13:20:00+00:00
CAISO,1hr,20706.0,RT5M,2017-10-01 16:20:00+00:00
CAISO,1hr,21433.0,RT5M,2017-10-01 20:20:00+00:00
CAISO,1hr,24532.0,RT5M,2017-10-01 23:20:00+00:00
CAISO,1hr,25632.0,RT5M,2017-10-02 00:20:00+00:00
CAISO,1hr,19063.0,RT5M,2017-10-01 12:20:00+00:00
CAISO,1hr,20469.0,RT5M,2017-10-01 15:20:00+00:00
CAISO,1hr,22345.0,RT5M,2017-10-01 21:20:00+00:00
CAISO,1hr,27168.0,RT5M,2017-10-02 03:20:00+00:00
CAISO,1hr,19452.0,RT5M,2017-10-01 09:20:00+00:00
CAISO,1hr,24629.0,RT5M,2017-10-02 04:45:00+00:00
CAISO,1hr,20600.0,RT5M,2017-10-01 15:45:00+00:00
